category,Achilles,Alice,Ancient Leshen,Angel,Angel - Alt 1.0,Annie Christmas,Beowulf,Beowulf - Alt 1.0,Bigfoot,Bigfoot - Alt 1.0,Black Panther,Black Widow,Blackbeard,Bloody Mary,Bruce Lee,Buffy Giles,Buffy Giles - Alt 1.0,Buffy Xander,Buffy Xander - Alt 1.0,Bullseye,Bullseye - Alt 1.0,Chupacabra,Ciri,Cloak & Dagger,Cloak & Dagger - Alt 1.0,Daredevil,Deadpool,Doctor Strange,Donatello,Dr. Jill Trent,Dr. Sattler,Dracula,Elektra,Eredin,Geralt of Rivia,Ghost Rider,Golden Bat,Hamlet,Houdini,InGen,Invisible Man,Invisible Man - Alt 1.0,Jekyll & Hyde,King Arthur,King Arthur - Alt 1.0,Krang,Leonardo,Little Red Riding Hood,Loki,Luke Cage,Martian Invader,Medusa,Michelangelo,Moon Knight,Mothman,Ms. Marvel,Muhammad Ali,Nikola Tesla,Oda Nobunaga,Pandora,Philippa,Raphael,Raptors,Robin Hood,Robin Hood - Alt 1.0,Shakespeare,She-Hulk,Sherlock Holmes,Shredder,Sinbad,Spider-Man,Spike,Squirrel Girl,Sun Wukong,T. Rex,The Genie,The Wayward Sisters,Titania,Tomoe Gozen,Triss,Willow,Winter Soldier,Yennefer,Yennenga
Achilles,0,103,48,3,0,62,58,0,203,0,64,91,35,33,67,5,0,9,0,57,0,24,65,16,0,123,1,28,6,98,50,122,36,35,63,31,87,12,129,67,52,0,2,18,0,11,8,80,30,181,0,98,3,106,0,6,1,84,22,31,9,14,40,103,0,38,92,22,12,116,29,1,4,147,118,63,20,30,100,19,3,28,52,299
Alice,103,0,2,1,0,96,97,0,32,0,73,46,12,19,71,3,0,5,0,32,0,27,10,31,0,28,9,2,15,17,70,49,3,4,36,29,25,21,20,38,25,0,27,37,0,14,9,65,27,75,0,43,19,83,0,24,6,17,7,28,15,18,31,66,0,29,16,9,11,75,4,4,3,23,105,52,8,15,31,0,4,7,4,35
Ancient Leshen,48,2,0,1,0,15,2,0,24,0,5,17,11,5,9,1,0,0,0,3,0,8,56,0,0,12,2,5,4,50,2,34,4,43,63,5,11,4,18,17,1,0,0,1,0,3,3,34,7,36,0,17,3,11,0,1,1,26,1,8,34,6,39,6,0,10,8,6,4,32,6,0,1,10,19,32,25,33,40,3,0,8,61,20
Angel,3,1,1,0,0,0,1,0,10,0,0,0,0,6,4,8,0,5,0,7,0,1,1,3,0,1,11,0,1,1,2,4,0,0,0,3,2,1,1,1,10,0,11,16,0,0,0,3,2,38,0,0,0,1,0,0,0,3,3,1,9,1,4,8,0,2,1,3,0,4,1,8,8,0,0,3,1,1,1,0,7,0,1,1
Angel - Alt 1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Annie Christmas,62,96,15,0,0,0,44,0,72,0,63,47,10,20,19,3,0,3,0,19,0,1,2,15,0,26,0,6,6,92,7,94,1,9,74,25,49,36,35,16,17,0,5,5,0,12,9,57,4,71,0,29,5,51,0,9,8,59,1,5,5,12,31,26,0,76,10,18,10,49,12,3,2,10,20,30,18,52,51,4,1,16,5,22
Beowulf,58,97,2,1,0,44,0,0,35,0,20,31,0,35,38,3,0,6,0,30,0,4,0,17,0,25,1,2,0,10,23,60,8,2,28,34,1,9,28,38,21,0,18,23,0,3,0,60,1,63,0,18,0,49,0,7,0,3,5,0,0,1,13,39,0,16,6,14,0,23,5,2,2,10,21,27,1,2,19,0,2,7,2,13
Beowulf - Alt 1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Bigfoot,203,32,24,10,0,72,35,0,0,0,45,24,25,98,30,3,0,5,0,13,0,25,59,3,0,50,16,39,8,156,11,113,14,18,44,25,327,3,114,81,22,0,15,17,0,4,5,187,18,100,0,193,4,156,0,7,2,116,3,8,2,18,44,64,0,22,99,40,9,76,30,2,3,99,84,36,32,9,78,12,4,24,42,234
Bigfoot - Alt 1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Black Panther,64,73,5,0,0,63,20,0,45,0,0,86,2,6,50,8,0,2,0,19,0,14,6,20,0,50,1,41,1,90,7,55,7,11,4,26,18,35,141,29,6,0,2,1,0,0,2,37,13,68,0,41,18,17,0,17,1,51,3,13,28,2,21,26,0,24,37,28,0,34,14,2,3,50,57,49,1,8,19,0,0,68,9,47
Black Widow,91,46,17,0,0,47,31,0,24,0,86,0,23,6,4,0,0,0,0,37,0,0,2,15,0,66,0,44,5,31,11,50,5,3,47,11,14,9,55,36,6,0,3,6,0,7,5,63,3,50,0,50,4,37,0,9,1,41,16,3,3,18,74,33,0,12,37,28,8,31,17,0,0,35,27,70,12,41,106,5,0,120,2,68
Blackbeard,35,12,11,0,0,10,0,0,25,0,2,23,0,6,21,0,0,2,0,13,0,63,21,3,0,39,1,27,24,34,1,9,3,10,31,5,30,2,20,4,8,0,0,12,0,26,18,31,79,5,0,54,28,13,0,1,12,26,2,96,5,49,8,8,0,2,4,18,23,44,1,0,0,67,0,39,4,7,37,0,1,3,41,41
Bloody Mary,33,19,5,6,0,20,35,0,98,0,6,6,6,0,64,3,0,5,0,28,0,35,1,3,0,20,31,2,0,10,14,51,3,9,13,26,47,8,18,18,56,0,72,37,0,1,1,50,11,26,0,10,1,37,0,11,0,9,20,13,21,0,21,31,0,14,8,6,2,24,36,10,23,39,5,54,12,16,59,1,12,4,4,87
Bruce Lee,67,71,9,4,0,19,38,0,30,0,50,4,21,64,0,9,0,13,0,66,0,12,23,37,0,31,5,24,3,27,58,79,9,75,5,19,12,15,83,41,29,0,33,11,0,0,8,45,25,19,0,37,6,34,0,24,14,36,3,8,41,7,15,101,0,19,3,15,4,57,28,6,18,69,31,76,15,5,56,2,5,8,6,104
Buffy Giles,5,3,1,8,0,3,3,0,3,0,8,0,0,3,9,0,0,1,0,11,0,0,0,3,0,3,1,2,1,4,7,8,4,0,2,10,0,6,1,4,23,0,22,8,0,0,0,7,0,4,0,2,0,1,0,3,1,0,4,0,0,0,5,18,0,1,0,2,1,6,8,2,6,5,3,1,0,1,1,1,3,1,0,2
Buffy Giles - Alt 1.0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
