category,Achilles,Alice,Ancient Leshen,Angel,Angel - Alt 1.0,Annie Christmas,Beowulf,Beowulf - Alt 1.0,Bigfoot,Bigfoot - Alt 1.0,Black Panther,Black Widow,Blackbeard,Bloody Mary,Bruce Lee,Buffy Giles,Buffy Giles - Alt 1.0,Buffy Xander,Buffy Xander - Alt 1.0,Bullseye,Bullseye - Alt 1.0,Chupacabra,Ciri,Cloak & Dagger,Cloak & Dagger - Alt 1.0,Daredevil,Deadpool,Doctor Strange,Donatello,Dr. Jill Trent,Dr. Sattler,Dracula,Elektra,Eredin,Geralt of Rivia,Ghost Rider,Golden Bat,Hamlet,Houdini,InGen,Invisible Man,Invisible Man - Alt 1.0,Jekyll & Hyde,King Arthur,King Arthur - Alt 1.0,Krang,Leonardo,Little Red Riding Hood,Loki,Luke Cage,Martian Invader,Medusa,Michelangelo,Moon Knight,Mothman,Ms. Marvel,Muhammad Ali,Nikola Tesla,Oda Nobunaga,Pandora,Philippa,Raphael,Raptors,Robin Hood,Robin Hood - Alt 1.0,Shakespeare,She-Hulk,Sherlock Holmes,Shredder,Sinbad,Spider-Man,Spike,Squirrel Girl,Sun Wukong,T. Rex,The Genie,The Wayward Sisters,Titania,Tomoe Gozen,Triss,Willow,Winter Soldier,Yennefer,Yennenga
Achilles,-2,30,51,0,-2,41,38,-2,52,-2,42,43,57,27,34,40,-2,11,-2,49,-2,13,55,44,-2,30,100,54,67,48,46,51,83,54,27,19,53,42,44,88,46,-2,0,39,-2,55,75,40,23,43,-2,83,0,40,-2,0,0,40,23,33,33,29,35,42,-2,24,45,73,17,36,45,0,25,78,42,16,40,40,34,55,33,25,42,57
Alice,70,-2,50,0,-2,63,47,-2,69,-2,50,41,50,29,42,33,-2,40,-2,38,-2,53,60,34,-2,43,11,100,60,56,50,67,100,100,36,62,52,43,75,74,64,-2,52,35,-2,71,89,45,53,53,-2,74,40,55,-2,29,67,41,57,55,44,56,61,53,-2,59,44,67,64,43,75,25,33,91,43,42,38,60,48,-2,0,43,75,64
Ancient Leshen,49,50,-2,0,-2,47,50,-2,42,-2,60,35,55,40,56,100,-2,-2,-2,100,-2,56,45,-2,-2,75,50,60,50,50,0,41,75,44,59,60,55,75,83,29,100,-2,-2,0,-2,67,67,56,29,61,-2,53,0,27,-2,100,100,69,100,50,56,67,62,50,-2,80,38,33,75,48,33,-2,0,60,95,48,65,55,63,67,-2,38,57,85
Angel,100,100,100,-2,-2,-2,100,-2,40,-2,-2,-2,-2,83,100,75,-2,80,-2,86,-2,100,100,67,-2,0,64,-2,100,100,50,75,-2,-2,-2,67,100,0,100,100,50,-2,73,56,-2,-2,-2,33,100,58,-2,-2,-2,0,-2,-2,-2,33,67,0,33,100,75,88,-2,50,0,67,-2,75,100,50,50,-2,-2,67,0,0,100,-2,57,-2,100,100
Angel - Alt 1.0,-2,-2,-2,-2,-2,-2,-2,100,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,100,-2,-2,-2,100,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,50,-2,-2,100,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,50,-2,-2,-2,-2,100,-2,-2,-2,-2,-2,-2,-2,-2,100,-2,-2,-2,-2,-2
Annie Christmas,59,38,53,-2,-2,-2,41,-2,45,-2,62,40,80,40,32,33,-2,33,-2,37,-2,0,50,40,-2,38,-2,50,83,72,57,60,100,78,47,36,47,28,71,75,65,-2,40,0,-2,58,44,33,75,39,-2,69,0,33,-2,22,50,54,0,40,20,54,71,19,-2,37,60,72,40,49,25,0,50,90,40,57,61,56,35,50,100,13,80,68
Beowulf,62,53,50,0,-2,59,-2,-2,63,-2,85,39,-2,49,55,0,-2,33,-2,30,-2,0,-2,41,-2,72,100,100,-2,80,48,33,100,50,61,24,100,11,57,74,33,-2,56,46,-2,67,-2,60,0,57,-2,89,-2,66,-2,63,-2,67,33,-2,50,100,85,49,-2,44,67,79,-2,83,20,50,0,80,71,33,0,100,53,-2,0,71,100,85
Beowulf - Alt 1.0,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,50,-2,-2,-2,0,-2,-2,-2,50,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,100,-2,-2,-2,-2,-2,100,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2
Bigfoot,48,31,58,60,-2,55,37,-2,-2,-2,42,13,76,44,23,33,-2,40,-2,15,-2,44,51,100,-2,8,19,51,22,61,0,50,93,61,36,48,55,33,35,63,32,-2,20,18,-2,0,40,53,78,26,-2,66,0,47,-2,14,0,34,0,13,0,67,27,31,-2,41,46,78,22,22,47,50,33,82,39,14,31,22,33,50,25,21,55,62
Bigfoot - Alt 1.0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,20,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,50,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,40,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
Black Panther,58,50,40,-2,-2,38,15,-2,58,-2,-2,57,50,50,38,13,-2,50,-2,5,-2,33,50,56,-2,42,0,76,0,54,14,36,43,64,75,31,89,29,35,62,50,-2,0,100,-2,-2,50,30,73,66,-2,78,50,65,-2,65,100,67,67,35,37,100,81,31,-2,58,78,82,-2,62,57,100,67,56,42,41,0,50,65,-2,-2,62,78,45
Black Widow,57,59,65,-2,-2,60,61,-2,88,-2,43,-2,78,67,50,-2,-2,-2,-2,41,-2,-2,100,40,-2,30,-2,50,60,65,45,58,80,100,36,82,86,50,73,61,0,-2,33,67,-2,14,100,73,100,80,-2,58,75,73,-2,22,0,73,38,67,0,50,49,42,-2,46,76,68,63,68,50,-2,-2,51,85,44,67,39,71,80,-2,48,50,49
Blackbeard,43,50,45,-2,-2,20,-2,-2,24,-2,50,22,-2,0,43,-2,-2,0,-2,62,-2,44,38,33,-2,36,0,59,33,43,0,22,67,60,26,0,60,33,55,0,0,-2,-2,17,-2,35,22,29,43,80,-2,35,57,23,-2,100,33,54,0,35,60,47,63,50,-2,50,50,28,48,50,100,-2,-2,57,-2,54,25,14,46,-2,0,100,63,37
Bloody Mary,73,71,60,17,-2,60,51,-2,56,-2,50,33,100,-2,77,0,-2,40,-2,46,-2,63,100,20,-2,50,35,50,-2,90,93,75,67,78,54,42,66,38,89,72,43,-2,39,30,-2,100,0,38,75,77,-2,80,33,81,-2,36,-2,67,55,36,52,-2,81,39,-2,50,75,83,100,71,17,50,65,82,100,48,50,25,41,100,0,100,100,46
Bruce Lee,66,58,44,0,-2,68,45,-2,77,-2,62,50,57,23,-2,22,-2,54,-2,39,-2,56,46,47,-2,42,20,25,100,59,67,63,78,40,40,42,62,38,54,76,28,-2,64,18,-2,-2,75,56,55,70,-2,68,27,65,-2,33,57,32,0,67,43,57,47,49,-2,47,67,80,50,44,50,33,39,39,47,44,47,100,46,100,0,25,33,43
Buffy Giles,60,67,0,25,-2,67,100,-2,67,-2,88,-2,-2,100,78,-2,-2,0,-2,45,-2,-2,-2,67,-2,67,100,100,100,100,57,75,75,-2,50,60,-2,67,0,50,48,-2,45,25,-2,-2,-2,86,-2,75,-2,100,-2,100,-2,100,100,-2,50,-2,-2,-2,60,61,-2,0,-2,100,100,100,75,50,67,20,67,0,-2,100,100,100,33,100,-2,50
Buffy Giles - Alt 1.0,-2,-2,-2,-2,-2,-2,-2,50,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,100,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
Buffy Xander,89,60,-2,20,-2,67,67,-2,60,-2,50,-2,100,60,46,100,-2,-2,-2,47,-2,-2,-2,38,-2,50,33,-2,-2,-2,100,100,100,100,-2,-2,100,25,-2,67,60,-2,70,33,-2,-2,-2,67,100,100,-2,100,-2,0,-2,33,-2,100,29,0,100,-2,31,39,-2,0,-2,67,-2,60,27,50,20,100,100,0,100,0,-2,-2,0,0,-2,67
Buffy Xander - Alt 1.0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,33,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,50,-2,-2,100,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
Bullseye,51,63,0,14,-2,63,70,-2,85,-2,95,59,38,54,61,55,-2,53,-2,-2,-2,82,60,60,-2,49,25,33,-2,100,73,59,68,41,75,45,35,67,78,17,12,-2,67,43,-2,0,100,85,100,92,-2,55,0,74,-2,70,50,74,50,43,67,67,55,50,-2,60,71,63,50,78,57,50,33,69,88,68,45,57,74,-2,0,57,100,38
Bullseye - Alt 1.0,-2,-2,-2,-2,0,-2,-2,100,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,50,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,25,-2,-2,-2,-2,-2,-2,-2,-2,100,-2,-2,-2,-2,-2
